dep,downloads
formatR,
lambda.r,
futile.options,
futile.logger,
snow,
GenomeInfoDb,
dbplyr,
gplots,
mlbench,
mclust,
chron,
AER,
betareg,
ordinal,
survey,
eha,
simex,
leaflet,
aod,
biglm,
brglm,
caret,
crch,
earth,
ff,
gam,
gee,
glmx,
mclogit,
mda,
mlogit,
MNP,
plm,
pscl,
sampleSelection,
speedglm,
survey,
vegalite,
spacyr,
geojsonio,
truncreg,
VGAM, 
tis,
vdiffr,
ggdendro,
dendroextras,
WGCNA,
moduleColor,
distory,
phangorn,
cleaner,
janitor,
skimr,
tsibble,
polyclip,
clock,
hardhat,
caTools,
recipes,
lpSolve,
lgr,
xgboost,
dotCall64,
spam,
RhpcBLASctl,
reticulate,
pROC,
TH.data,
multcomp,
RcppProgress,
rbibutils,
ipred,
Rdpack,
gower,
crul,
rcmdcheck,
urlchecker,
devtools,
patchwork,
kernlab,
kableExtra,
RcppTOML,
anytime,
ape,
ranger,
RSQLite,
rstatix,
prodlim,
ggsignif,
ggpubr,
mnormt,
spelling,
httpcode,
xopen,
profvis,
rversions,
fastmatch,
ggsci,
timeDate,
lava,
RCurl,
diagram,
sessioninfo,
polynom,
x13binary,
V8,
downlit,
here,
FNN,
corrplot,
triebeard,
urltools,
plogr,
SQUAREM,
hunspell,
pkgdown,
R.cache,
rstanarm,
hesim,
ctmm,
disk.frame,
nc,
data.table,2564
magrittr,2442
glue,2424
rlang,2416
R6,2394
jsonlite,2320
cli,2286
lifecycle,2286
pkgconfig,2282
digest,2272
vctrs,2258
withr,2250
utf8,2240
fansi,2238
pillar,2238
tibble,2238
evaluate,2192
fs,2164
stringi,2132
stringr,2072
ellipsis,2038
yaml,2032
Rcpp,1990
crayon,1954
fastmap,1912
base64enc,1888
xfun,1888
highr,1878
knitr,1876
htmltools,1866
ps,1790
processx,1788
callr,1778
rprojroot,1774
cachem,1750
memoise,1750
desc,1744
rematch2,1738
rappdirs,1734
pkgload,1722
diffobj,1720
brio,1718
praise,1718
waldo,1718
testthat,1718
jquerylib,1704
sass,1696
bslib,1694
tinytex,1596
rmarkdown,1592
RColorBrewer,1538
viridisLite,1514
colorspace,1512
farver,1506
labeling,1506
munsell,1506
scales,1506
gtable,1466
isoband,1466
ggplot2,1466
generics,1406
mime,1366
cpp11,1364
tidyselect,1342
curl,1252
dplyr,1250
purrr,1188
sys,1136
askpass,1134
openssl,1120
httr,1114
tidyr,878
lazyeval,858
htmlwidgets,788
xml2,758
backports,720
RcppEigen,718
commonmark,702
gridExtra,696
prettyunits,694
plyr,678
hms,628
bit,600
rstudioapi,600
later,594
promises,590
bit64,588
progress,584
xtable,556
zoo,522
clipr,514
rex,510
RcppArmadillo,510
iterators,486
tzdb,482
foreach,482
httpuv,470
png,470
timechange,466
lubridate,464
numDeriv,462
viridis,458
DBI,448
fontawesome,448
sourcetools,448
shiny,448
covr,446
checkmate,438
vroom,414
proxy,406
readr,402
crosstalk,390
BH,380
e1071,374
reshape2,374
abind,372
mvtnorm,358
sp,344
broom,320
igraph,318
minqa,318
parallelly,314
assertthat,312
nloptr,310
globals,306
listenv,302
future,302
systemfonts,300
Formula,294
jpeg,286
lme4,284
zip,284
deldir,284
doParallel,266
SparseM,260
MatrixModels,260
uuid,252
quantreg,250
whisker,250
forcats,242
future.apply,242
classInt,236
units,236
interp,236
bitops,234
R.oo,228
R.methodsS3,228
R.utils,228
brew,228
wk,226
latticeExtra,222
markdown,222
selectr,216
s2,214
sf,214
rvest,214
ggrepel,212
htmlTable,206
rematch,202
plotly,202
miniUI,200
raster,196
Hmisc,196
cellranger,194
sandwich,192
XML,192
blob,190
readxl,188
pbkrtest,188
RcppParallel,186
carData,186
DT,186
car,182
roxygen2,182
shape,178
remotes,176
progressr,174
gtools,172
cowplot,168
quadprog,166
haven,164
xts,158
webshot,158
matrixStats,154
credentials,154
gitcreds,150
ini,150
gert,150
gh,148
usethis,144
pbapply,144
lmtest,142
coda,136
maps,134
svglite,132
textshaping,132
ragg,132
pkgbuild,132
glmnet,132
limma,44
BiocParallel,36
GenomicRanges,36
MatrixGenerics,34
Rhdf5lib,32
DelayedArray,31
S4Arrays,31
SparseArray,31
SummarizedExperiment,31
qvalue,28
BiocFileCache,26
graph,26
rhdf5,26
rhdf5filters,26
biomaRt,24
ggtree,24
treeio,24
gdsfmt,22
ComplexHeatmap,18
DESeq2,18
ProtGenerics,18
Rhtslib,18
SNPRelate,18
AnnotationFilter,15
Rsamtools,15
DNAcopy,14
edgeR,14
GenomicAlignments,13
annotate,12
GOSemSim,12
multtest,12
pcaMethods,12
SingleCellExperiment,12
snpStats,12
sparseMatrixStats,12
